date,flu symptoms,flu,fever,cough,flu test
2020-04-19,1,28,14,8,0
2020-04-26,1,22,13,7,0
2020-05-03,1,19,12,6,0
2020-05-10,1,19,12,6,0
2020-05-17,1,16,11,5,0
2020-05-24,1,15,11,5,0
2020-05-31,0,6,10,4,0
2020-06-07,1,7,11,5,0
2020-06-14,1,8,12,5,0
2020-06-21,1,11,13,6,0
2020-06-28,1,19,14,6,0
2020-07-05,1,12,14,6,0
2020-07-12,1,15,14,7,0
2020-07-19,1,14,13,6,0
2020-07-26,1,13,13,6,0
2020-08-02,0,12,12,6,0
2020-08-09,0,13,11,5,0
2020-08-16,0,14,11,5,0
2020-08-23,0,12,10,5,0
2020-08-30,1,14,11,5,0
2020-09-06,1,17,11,5,0
2020-09-13,1,19,10,5,0
2020-09-20,1,23,11,6,0
2020-09-27,1,24,11,6,0
2020-10-04,4,100,41,22,1
2020-10-11,4,82,38,23,1
2020-10-18,4,72,39,24,1
2020-10-25,4,75,38,25,1
2020-11-01,3,44,34,20,1
2020-11-08,4,54,41,25,1
2020-11-15,4,64,45,27,1
2020-11-22,4,48,42,26,1
2020-11-29,4,51,41,24,1
2020-12-06,4,53,42,25,1
2020-12-13,3,50,42,26,1
2020-12-20,4,42,42,25,1
2020-12-27,4,45,45,27,1
2021-01-03,4,38,42,24,1
2021-01-10,3,32,39,23,1
2021-01-17,3,33,38,23,1
2021-01-24,3,30,37,22,1
2021-01-31,2,26,37,21,0
2021-02-07,2,24,36,21,0
2021-02-14,2,21,33,20,0
2021-02-21,2,31,34,20,0
2021-02-28,2,24,34,20,0
2021-03-07,2,22,34,20,0
2021-03-14,2,20,34,20,0
2021-03-21,2,21,36,22,0
2021-03-28,2,21,37,22,0
2021-04-04,2,21,42,24,0
2021-04-11,2,23,40,24,0
2021-04-18,2,21,41,25,0
2021-04-25,2,19,40,24,0
2021-05-02,2,18,39,24,0
2021-05-09,2,18,38,25,0
2021-05-16,2,17,38,26,0
2021-05-23,2,15,35,26,0
2021-05-30,2,34,35,27,0
2021-06-06,2,14,34,26,0
2021-06-13,2,14,35,27,0
2021-06-20,2,13,34,26,0
2021-06-27,2,12,35,28,0
2021-07-04,2,13,36,29,0
2021-07-11,2,15,38,32,0
2021-07-18,2,19,41,34,0
2021-07-25,2,23,42,33,1
2021-08-01,2,27,44,33,1
2021-08-08,3,30,45,34,1
2021-08-15,3,30,48,37,1
2021-08-22,3,33,48,37,1
2021-08-29,3,32,47,36,1
2021-09-05,3,40,46,36,1
2021-09-12,3,46,44,37,1
2021-09-19,3,55,43,38,1
2021-09-26,3,60,42,37,1
2021-10-03,4,76,47,44,1
2021-10-10,4,73,48,43,1
2021-10-17,4,64,47,45,1
2021-10-24,4,60,46,43,1
2021-10-31,5,59,46,46,1
2021-11-07,5,56,50,51,1
2021-11-14,6,61,49,50,1
2021-11-21,5,50,48,49,1
2021-11-28,7,59,52,52,2
2021-12-05,7,54,53,51,2
2021-12-12,9,58,59,54,2
2021-12-19,12,75,77,64,4
2021-12-26,16,88,100,78,6
2022-01-02,15,81,97,81,5
2022-01-09,11,61,85,70,3
2022-01-16,7,41,69,56,2
2022-01-23,5,33,57,47,1
2022-01-30,4,27,53,40,1
2022-02-06,4,27,47,38,1
2022-02-13,4,28,45,34,1
2022-02-20,4,29,43,36,1
2022-02-27,4,27,42,35,1
2022-03-06,4,29,43,37,1
